Y,X,Z
0,0,0
0,0,0
-165,-39,-18
-166,-41,-18
-165,-41,-18
-166,-38,-17
-166,-38,-17
-163,-39,-19
-169,-38,-17
-168,-37,-16
-168,-37,-16
-169,-36,-15
-167,-37,-17
-168,-40,-17
-167,-42,-18
-166,-40,-17
-165,-41,-18
-165,-43,-18
-167,-42,-17
-179,29,-10
0,0,0
-164,-50,-22
-177,32,-10
-166,-46,-18
-172,-41,-8
-167,-44,-14
-168,-45,-11
-170,-37,-9
-170,-39,-6
-172,-35,-5
-172,-26,-3
-175,-33,0
-175,-33,2
-174,-28,4
-176,-32,6
179,-34,7
-176,-24,6
-179,-24,6
-177,-27,7
-177,-21,5
-177,-28,6
-177,-19,4
-173,-8,4
-176,-11,4
-175,-14,5
-177,-34,4
179,-11,3
-177,-32,4
-176,-41,2
-175,-36,1
-175,-38,1
-174,-45,0
-177,-30,2
-174,-42,0
-178,-37,0
-179,-19,1
-173,-21,1
-171,-49,-3
-177,0,-2
-174,-15,0
-173,-19,0
-173,-45,-2
-169,-45,-3
-163,-28,-2
-167,-41,-4
-167,-41,-5
-164,-44,-7
-165,-44,-6
-168,-38,-6
-164,-43,-7
-165,-42,-7
-166,-36,-8
-167,-44,-8
-166,-42,-8
-166,-37,-9
-167,-39,-7
-167,-42,-6
-169,-45,-4
-169,-42,-2
-169,-41,-3
-170,-46,-1
-169,-50,-2
-170,-48,0
-171,-39,1
-173,-39,2
-173,-44,3
-171,-44,2
-173,-46,4
-173,-51,4
-176,-50,8
-175,-54,6
-175,-50,8
-174,-52,6
-175,-52,7
-176,-53,8
-175,-54,9
-175,-54,7
-173,-54,6
-175,-55,8
-173,-56,6
-174,-57,6
-171,-57,4
-173,-59,5
-171,-59,2
-169,-61,1
-169,-52,1
