Y,X,Z
-165,61,-6
-167,57,-9
-168,59,-8
-169,67,-9
-167,59,-8
-167,57,-8
-166,58,-8
-168,59,-9
-171,61,-11
-171,61,-10
-170,58,-10
-171,63,-10
-170,65,-11
-170,62,-9
-171,61,-11
-169,63,-9
-170,63,-9
-170,64,-9
-171,63,-10
-170,63,-11
-171,65,-11
-173,63,-11
-172,65,-12
-173,63,-13
-173,64,-13
-170,66,-10
-169,66,-9
-172,66,-11
-171,66,-11
-171,64,-12
-170,65,-10
-171,60,-11
-169,61,-10
-168,57,-9
-171,59,-12
-171,61,-11
-172,62,-11
-170,62,-10
-169,63,-8
-171,63,-10
-172,63,-11
-172,62,-11
-171,62,-10
-170,63,-10
-171,64,-10
-171,59,-10
-170,60,-9
-171,62,-10
-169,-13,-16
-172,63,-10
-174,60,-13
-172,62,-12
-170,59,-12
-172,58,-13
-170,56,-11
-171,61,-10
178,20,161
-172,65,-11
-172,65,-11
-172,65,-11
-179,17,164
-171,62,-12
-172,63,-13
-172,59,-11
-171,60,-11
-171,62,-11
-170,57,-11
-172,57,-12
-172,61,-11
-173,58,-13
-173,58,-13
-171,57,-13
-171,57,-12
-169,55,-12
-171,54,-12
-170,55,-12
-171,55,-13
-171,57,-13
-169,56,-13
-171,55,-14
-173,56,-13
-172,57,-13
-171,55,-13
-171,54,-13
-171,52,-13
-171,53,-13
-168,55,-11
-170,54,-12
-170,57,-12
-172,59,-13
-170,59,-11
-174,64,-15
-173,64,-14
-174,65,-13
-167,57,-8
-170,59,-10
-175,65,-14
-171,62,-11
-171,62,-9
-168,61,-8
-169,60,-9
0,0,0
0,0,0
-171,65,-10
-176,14,166
-162,58,-4
-176,13,167
-177,15,166
-168,-7,-13
-165,60,-4
-167,-10,-15
-168,63,-7
163,53,-6
163,49,-4
-167,67,-5
-166,67,-4
-166,70,-2
-169,68,-5
-167,67,-4
-168,68,-3
0,0,0
0,0,0
0,0,0
-163,67,0
-168,68,-5
-165,69,-4
-165,68,-4
-166,65,-4
-166,66,-3
-161,65,0
-159,67,0
-161,70,0
-162,69,-1
-161,67,-1
-159,68,0
-160,69,0
-162,69,0
-163,69,-1
-161,68,0
-162,67,0
-160,68,1
-162,68,0
-160,67,3
-157,70,6
-160,68,1
-161,68,3
-160,70,2
-158,68,4
-160,66,3
-161,65,2
-161,67,1
-161,66,3
-161,69,4
-165,68,0
-164,68,0
-163,63,0
-163,63,0
0,0,0
0,0,0
-160,66,3
-159,68,3
-157,69,5
-159,69,4
-158,66,4
-159,64,3
-157,67,5
-157,63,5
-160,61,1
-159,67,3
-159,65,2
-157,64,4
-159,63,2
-159,63,2
-159,63,2
-159,64,3
-158,63,2
160,42,-20
0,0,0
158,49,-27
-156,64,3
-155,65,4
158,37,-19
-154,63,5
-155,63,5
-156,64,4
-157,68,4
-156,65,4
-157,69,4
-158,65,3
-157,67,5
-157,67,3
-155,65,5
-155,68,6
-153,70,9
-156,70,6
-155,70,6
-157,70,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
178,24,166
-166,70,-3
-169,70,-3
-162,59,0
0,0,0
0,0,0
0,0,0
0,0,0
-171,63,-9
0,0,0
-173,65,-8
0,0,0
0,0,0
-172,66,-8
-174,67,-10
0,0,0
-170,63,-6
-176,18,169
-172,63,-7
0,0,0
-179,23,170
-177,23,169
-175,20,169
0,0,0
-178,23,169
170,-54,-1
-178,22,168
-178,22,168
-178,23,168
-171,68,-8
-176,68,-10
0,0,0
0,0,0
0,0,0
-173,18,171
-175,66,-9
-176,23,169
-178,67,-11
160,37,-33
158,18,-23
-176,21,174
-174,22,171
-178,65,-11
-177,65,-11
-178,64,-11
0,0,0
0,0,0
-176,50,-10
-176,61,-11
-175,54,-11
0,0,0
0,0,0
0,0,0
-173,52,-10
-177,45,-11
0,0,0
-174,48,-10
0,0,0
0,0,0
0,0,0
0,0,0
-169,60,-9
0,0,0
0,0,0
0,0,0
-165,63,-6
0,0,0
-164,65,-4
-163,63,-5
0,0,0
0,0,0
-160,59,-5
0,0,0
0,0,0
-158,61,-2
0,0,0
-157,57,-2
-154,57,-2
-157,57,-3
-154,59,0
-156,52,-3
-156,60,0
0,0,0
-152,57,1
0,0,0
0,0,0
-151,57,2
-151,56,1
-152,54,0
-153,53,0
-150,58,3
174,16,162
-154,56,0
-153,53,0
-151,56,3
-149,57,5
176,13,164
-150,53,3
-148,54,5
-151,51,2
-146,60,9
-151,52,1
-154,51,0
-155,53,0
-153,54,3
-149,56,4
-152,55,2
-149,56,4
-150,56,4
-150,57,6
-146,47,4
179,10,168
0,0,0
-153,52,2
-153,52,2
0,0,0
-152,53,2
-150,54,3
-151,53,2
-152,54,1
0,0,0
0,0,0
-151,52,2
-150,55,3
0,0,0
0,0,0
0,0,0
0,0,0
-155,50,0
-175,-60,-9
-178,-59,-8
179,-57,-4
-176,-57,-8
178,-58,-5
-179,-59,-6
176,-58,-3
177,-57,-3
176,-58,-4
176,-57,-3
176,-60,-4
175,-58,-2
179,-58,-1
168,-57,3
-173,-58,-6
-172,-56,-8
177,-57,-1
-170,-56,-8
-178,-55,-3
170,-56,1
174,-59,-1
175,-59,-1
158,-24,16
174,-58,0
176,-57,-2
162,-43,8
-179,-52,-4
166,-50,6
170,-55,3
166,-54,7
168,-53,7
156,-23,17
165,-38,7
171,-53,3
172,-52,4
156,-11,10
171,-40,5
169,-45,5
159,-8,4
171,-26,5
176,-47,3
178,-40,0
179,-40,-1
167,-45,6
-178,-38,-3
172,-43,1
173,-40,1
171,-40,2
174,-40,0
174,-38,1
174,-37,1
174,-35,0
172,-36,3
174,-35,1
175,-36,0
176,-35,0
178,-34,0
0,0,0
0,0,0
0,0,0
-173,-44,-5
