Y,X,Z
-179,-51,-1
171,-61,8
173,-61,6
173,-61,6
175,-60,4
176,-61,4
176,-59,3
177,-54,1
177,-52,0
175,-53,2
175,-51,3
174,-52,5
173,-57,7
174,-54,6
173,-54,7
173,-54,8
172,-53,8
170,-56,11
169,-56,12
169,-53,10
173,-53,8
172,-52,9
169,-54,10
170,-56,10
167,-55,12
167,-56,11
165,-54,12
164,-55,11
163,-56,10
160,-51,11
161,-50,9
165,-52,5
170,-53,0
168,-54,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
172,-42,0
175,-38,0
175,-35,-1
174,-35,0
170,-33,2
-175,-10,-10
172,-30,2
172,-29,2
170,-29,4
171,-28,4
172,-27,6
161,45,-15
162,43,-14
164,39,-11
163,44,-13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-174,34,8
0,0,0
0,0,0
0,0,0
-172,15,21
0,0,0
-170,32,10
-166,28,-157
177,0,24
-173,20,27
167,-27,34
178,7,20
168,-36,36
168,-38,34
-168,27,30
-169,26,29
175,8,24
-172,23,26
168,-45,32
-170,23,25
176,-16,22
168,-45,29
-170,28,25
-173,29,23
173,-38,24
173,-44,24
-174,26,21
172,-43,23
174,-38,21
-174,30,18
174,-48,20
173,-50,20
176,-49,16
176,-44,15
177,-48,14
-179,28,10
-179,30,8
-179,31,7
-179,29,5
178,30,3
176,30,0
176,32,-1
175,30,-4
175,31,-5
-170,-54,-6
173,29,-11
173,33,-13
174,30,-15
175,31,-17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
163,30,-26
160,22,-24
161,22,-20
162,24,-23
164,25,-21
165,23,-18
177,12,-12
179,9,-8
172,-14,4
0,0,0
177,-13,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-179,-45,2
178,-38,1
-175,-44,-3
-173,-53,-5
-173,-52,-5
-171,-53,-6
-173,-54,-5
-168,-53,-8
-170,-56,-7
-171,-55,-7
-167,-47,-8
-173,-56,-5
-174,-57,-3
-175,-57,-2
-176,-57,-1
-175,-58,-2
0,0,0
0,0,0
-177,-54,-5
-175,-48,-9
0,0,0
0,0,0
0,0,0
-176,-20,-14
-171,-7,-8
-173,-43,-13
-173,-28,-14
-174,-46,-12
-173,-45,-11
-173,-44,-10
-165,-30,-12
-173,-45,-7
168,-15,4
168,-10,3
166,-20,2
168,-25,2
170,-26,1
173,-30,1
174,-33,0
175,-37,0
175,-36,0
175,-38,0
169,-10,0
169,-9,-1
169,-23,0
176,-36,-1
179,-42,-4
-179,-42,-4
-178,-47,-4
-178,-47,-4
-177,-48,-5
-178,-47,-5
-178,-46,-5
-178,-48,-5
-179,-46,-5
-178,-46,-5
179,-47,-4
-178,-49,-5
-179,-45,-4
-179,-46,-5
179,-44,-5
178,-43,-5
178,-45,-4
179,-43,-5
179,-46,-6
179,-45,-5
-179,-44,-6
179,-45,-5
179,-44,-4
-179,-42,-5
179,-43,-4
-179,-43,-4
179,-43,-4
179,-43,-4
179,-42,-3
179,-43,-3
179,-46,-2
-177,-32,-5
178,-45,-2
-179,-45,-4
168,-27,1
171,-25,0
174,-25,-3
177,-27,-5
179,-27,-7
0,0,0
-173,-43,-7
-172,-40,-8
-172,-41,-8
-170,-45,-10
-169,-44,-10
-168,-47,-11
-174,-45,-3
-171,-46,-10
-176,-42,-2
-170,-47,-10
-168,-48,-11
-172,-47,-8
-172,-47,-8
-171,-48,-9
-176,-41,-7
-176,-43,-5
-179,-41,-4
-178,-45,-6
176,-33,-3
-179,-43,-6
-179,-41,-7
179,-44,-7
-179,-44,-7
-179,-44,-6
179,-44,-5
-179,-43,-6
179,-42,-5
179,-42,-5
-179,-45,-4
179,-45,-3
179,-43,-3
178,-43,-2
178,-43,-2
178,-44,-2
177,-42,-1
179,-44,-1
178,-42,-1
178,-41,-2
179,-42,-2
177,-40,-1
178,-42,-1
177,-42,0
177,-42,-1
176,-40,0
177,-39,-1
179,-43,-2
177,-41,-1
177,-41,0
177,-44,0
177,-44,0
177,-43,0
176,-42,0
177,-44,0
178,-44,0
178,-44,0
177,-42,0
177,-43,0
179,-42,0
178,-43,0
177,-43,0
176,-41,0
176,-42,0
178,-43,-1
176,-40,-1
178,-43,-1
177,-41,-2
177,-41,-2
177,-42,-2
176,-41,-2
179,-42,-3
179,-42,-4
178,-42,-3
-179,-42,-5
-179,-42,-5
-179,-44,-5
-179,-42,-5
-179,-43,-6
-178,-44,-6
-179,-41,-5
-179,-41,-6
-179,-41,-6
-177,-43,-7
-177,-42,-7
-177,-41,-7
-178,-42,-7
-178,-43,-6
-178,-41,-7
-178,-41,-6
-177,-41,-8
-177,-40,-8
-177,-40,-8
-177,-40,-8
-177,-39,-9
-176,-40,-10
-177,-39,-9
-177,-39,-10
-178,-39,-9
-178,-38,-9
-178,-39,-9
-178,-37,-10
-178,-38,-10
-178,-38,-9
-179,-38,-10
-178,-38,-11
-179,-38,-10
-177,-39,-10
-177,-38,-11
-177,-40,-10
-177,-38,-10
-178,-39,-10
-179,-35,-10
-178,-36,-10
-179,-36,-9
-179,-38,-9
-178,-38,-9
179,-35,-9
-179,-38,-9
179,-37,-8
179,-35,-8
179,-36,-7
179,-35,-8
178,-36,-7
179,-37,-8
178,-35,-7
178,-35,-7
179,-36,-7
178,-37,-6
178,-37,-7
178,-37,-7
179,-38,-7
178,-36,-7
178,-37,-8
178,-36,-9
177,-36,-9
177,-36,-10
178,-38,-11
179,-38,-12
177,-38,-11
177,-38,-10
178,-38,-11
179,-38,-11
179,-38,-10
179,-37,-10
179,-37,-9
179,-38,-8
-179,-39,-7
-179,-40,-6
179,-40,-5
179,-41,-5
-179,-39,-5
-178,-39,-6
-178,-40,-7
-178,-41,-8
-177,-41,-9
-175,-41,-11
-176,-42,-10
-176,-42,-9
-177,-40,-8
-177,-42,-7
-176,-43,-7
-176,-43,-8
-175,-39,-10
-176,-42,-10
-175,-42,-10
-176,-42,-10
-174,-44,-10
-174,-46,-11
-175,-45,-10
-175,-43,-9
-175,-36,-9
-176,-43,-7
-176,-43,-7
-176,-45,-8
-175,-45,-8
-176,-46,-8
-177,-41,-7
-176,-45,-8
-177,-41,-7
-177,-44,-8
-177,-44,-8
-178,-44,-7
-177,-41,-9
-178,-44,-7
-178,-44,-6
-178,-44,-7
-177,-45,-7
-178,-43,-6
-178,-43,-7
-177,-44,-7
-178,-43,-6
-178,-44,-6
-178,-42,-6
-178,-41,-6
-178,-41,-7
-177,-42,-6
-178,-43,-6
179,-42,-6
-179,-40,-6
-178,-42,-7
-178,-41,-8
-178,-42,-8
-178,-36,-6
-178,-43,-6
179,-41,-6
-178,-43,-7
-179,-43,-6
-178,-43,-7
-179,-44,-6
-179,-43,-7
