Z,X,Y
147.092,-72.8918,56.7772
135.328,-68.3942,44.4913
129.045,-64.7479,36.7677
125.496,-61.979,31.2419
123.15,-59.8909,26.6316
121.239,-58.4539,22.3007
119.57,-57.7772,18.0632
118.227,-57.9304,13.7762
117.134,-58.8079,9.06947
115.744,-60.3169,3.4999
112.923,-62.5238,-3.38261
107.24,-65.3416,-12.1578
98.1149,-68.2363,-22.9951
87.0807,-70.6041,-34.593
76.9541,-72.3797,-44.7521
69.1841,-73.8817,-52.4912
62.9065,-75.2902,-58.7646
56.0002,-76.5561,-65.5379
46.9789,-77.5267,-74.2173
35.9513,-78.0919,-84.7705
23.5348,-78.3312,-96.6869
9.43982,-78.2753,-110.253
-6.45925,-77.667,-125.528
-22.285,-76.1352,-140.645
-35.3481,-73.6261,-153.057
-44.7763,-70.3658,-162.113
-51.3717,-66.2955,-168.75
-55.9867,-60.7738,-173.703
-58.9637,-52.8791,-176.969
-60.6754,-42.2549,-178.738
-61.8669,-30.3206,-179.891
-63.0591,-20.2293,178.985
-64.0755,-13.6115,178.072
-64.7393,-9.94964,177.637
-65.1985,-8.07685,177.722
-65.6287,-7.07502,178.055
-66.0841,-6.47452,178.258
-66.5773,-6.01843,178.186
-67.1458,-5.55854,178.07
-67.8357,-5.07585,178.266
-68.6611,-4.65352,178.981
-69.5481,-4.34096,-179.869
-70.4336,-4.16694,-178.595
-71.2883,-4.17115,-177.501
-72.1429,-4.36092,-176.672
-73.0412,-4.6784,-175.998
-73.9713,-5.05845,-175.344
-74.8601,-5.47701,-174.663
-75.6565,-5.9289,-173.985
-76.4041,-6.4162,-173.358
-77.2371,-6.98876,-172.824
-78.1826,-7.67446,-172.344
-79.1984,-8.50625,-171.902
-80.1467,-9.53233,-171.47
-80.933,-10.8369,-171.014
-81.597,-12.448,-170.52
-82.2972,-14.3442,-169.955
-83.3145,-16.6855,-169.29
-84.9906,-19.8463,-168.53
-87.6163,-24.2243,-167.63
-91.174,-30.0056,-166.614
-95.1951,-36.9519,-165.667
-99.0448,-44.0099,-165.131
-102.614,-49.6874,-165.419
-106.156,-53.0214,-166.74
-109.662,-54.2015,-168.886
-112.768,-54.1242,-171.441
-115.274,-53.7863,-174.215
-117.372,-53.7102,-177.335
-119.379,-53.8955,179.053
-121.448,-54.0583,175.051
-123.433,-53.9271,171.055
-125.086,-53.4818,167.504
-126.256,-52.9488,164.65
-126.918,-52.5705,162.505
-127.121,-52.4056,160.969
-127.01,-52.3584,159.894
-126.813,-52.3337,159.088
-126.713,-52.3035,158.366
-126.77,-52.2514,157.608
-126.935,-52.1389,156.781
-127.145,-51.9449,155.895
-127.336,-51.6952,154.979
-127.504,-51.4056,154.026
-127.654,-51.0517,153.01
-127.75,-50.6206,151.932
-127.793,-50.1466,150.82
-127.829,-49.681,149.738
-127.881,-49.2547,148.771
-127.913,-48.8562,147.956
-127.8,-48.4507,147.303
-127.454,-47.9987,146.791
-126.933,-47.4869,146.338
-126.331,-46.9186,145.811
-125.711,-46.2798,144.963
-125.06,-45.5489,143.59
-124.34,-44.7803,141.707
-123.466,-44.0371,139.555
-122.326,-43.3375,137.383
-120.886,-42.6908,135.302
-119.212,-42.134,133.326
-117.386,-41.7295,131.499
-115.451,-41.5455,129.943
-113.463,-41.6627,128.816
-111.513,-42.1241,128.273
-109.616,-42.9096,128.502
-107.613,-43.9357,129.751
-105.35,-45.0595,132.112
-102.968,-46.0093,135.311
-100.944,-46.4809,138.66
-99.3027,-46.4505,141.496
-97.1479,-46.2942,143.742
-93.5261,-46.4561,145.961
-88.5471,-46.9897,148.769
-82.9977,-47.6765,152.324
-77.5611,-48.4054,156.451
-72.3873,-49.3118,161.081
-67.3072,-50.5285,166.366
-62.3235,-52.0951,172.361
-57.8301,-54.0709,178.811
-54.2523,-56.6023,-174.613
-51.5305,-59.6891,-167.964
-49.2155,-62.9795,-161.166
-47.0611,-66.0822,-154.471
-45.3247,-69.003,-148.614
-44.3495,-72.1499,-144.225
-44.1431,-75.6464,-141.417
-44.822,-78.8026,-140.482
-47.2133,-80.6163,-142.667
-51.4868,-80.9566,-148.419
-57.6187,-80.913,-157.341
-69.8149,-81.6052,-172.687
-95.4839,-82.2637,159.061
-125.279,-80.706,127.802
-141.88,-77.6256,110.906
-149.487,-75.0048,103.901
-153.273,-73.5287,101.131
-154.917,-72.655,100.413
-155.188,-71.5369,100.686
-154.921,-69.985,101.178
-154.846,-68.462,101.41
-155.157,-67.1817,101.341
-155.634,-65.9688,101.111
-156.026,-64.8016,100.886
-156.11,-63.9793,100.752
-155.804,-63.841,100.676
-155.353,-64.3164,100.646
-155.264,-64.9398,100.659
-155.615,-65.3966,100.674
-155.456,-65.9998,100.706
-153.881,-67.0431,100.686
-150.997,-68.292,100.508
-148.03,-69.263,99.6926
-146.241,-69.8489,97.4893
-146.412,-70.3513,93.3032
-148.993,-71.1487,86.9407
-154.388,-72.4533,78.586
-163.037,-74.4125,68.7541
-176.255,-77.0653,57.0603
163.808,-79.7957,41.4139
140.616,-81.4185,23.7913
125.804,-81.7969,13.7933
123.227,-81.4531,14.3985
126.902,-80.4827,19.8741
131.486,-79.2118,25.4106
136.513,-78.0139,30.8252
143.173,-76.7881,37.4127
151.024,-75.2103,44.9079
158.006,-73.3285,51.4881
162.581,-71.6586,55.6587
164.395,-70.7105,56.8369
164.476,-70.4776,55.9305
164.536,-70.4136,54.8938
165.943,-69.975,55.5606
168.447,-69.2132,57.9313
170.721,-68.5805,60.5912
171.702,-68.5629,62.2027
171.367,-69.0945,62.5554
170.393,-69.6091,62.2915
169.653,-69.7405,62.3064
169.422,-69.4672,62.8562
169.484,-68.9859,63.5587
169.379,-68.5067,63.888
168.968,-68.1161,63.6819
168.301,-67.8239,63.1377
167.536,-67.6044,62.5799
166.805,-67.417,62.2145
166.185,-67.2142,62.0807
165.711,-67.0111,62.1003
165.41,-66.8896,62.1454
165.248,-66.9148,62.0916
165.28,-67.0773,62.0259
165.71,-67.1144,62.3238
166.448,-66.8591,63.1218
167.091,-66.3438,64.1117
167.178,-65.7925,64.7931
166.764,-65.4189,64.9102
166.222,-65.2892,64.4528
165.655,-65.4394,63.3692
164.561,-66.0037,61.3674
162.513,-67.118,58.4316
159.653,-68.7121,55.0075
156.567,-70.4442,51.7719
153.866,-71.8114,49.2916
