Y,X,Z
-172,-54,-4
-170,-56,-6
-171,-54,-4
-170,-51,-5
-167,-36,-10
-164,-38,-11
-170,-59,-5
-171,-56,-4
-169,-55,-8
-171,-48,-5
-169,-50,-6
-169,-51,-5
-172,-51,-5
-171,-57,-7
-173,-61,-6
-171,-61,-9
-175,-63,-5
-172,-64,-10
164,-26,8
168,-43,6
168,-17,-170
158,-26,9
158,-30,11
-173,-65,-11
177,-57,1
-158,-60,-25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-170,-30,-7
177,-57,-4
176,-53,-3
175,-50,-2
176,-51,-1
179,-46,-3
176,-48,-1
177,-46,-1
177,-44,0
178,-44,-1
177,-43,0
178,-44,0
178,-44,0
177,-42,1
178,-40,1
179,-41,0
178,-39,0
179,-38,0
178,-37,1
178,-35,1
178,-35,1
178,-32,1
178,-33,2
177,-30,2
178,-30,3
177,-29,3
176,-26,4
175,-24,5
174,-20,6
173,-16,8
174,-18,7
174,-9,8
171,-12,10
0,0,0
0,0,0
174,22,10
177,23,9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-153,42,40
-146,45,46
-146,46,47
-149,48,45
-153,49,42
-147,49,46
-150,51,43
-152,49,41
-153,48,38
-152,49,39
-152,49,38
-156,46,34
-156,48,33
-158,47,30
-158,47,29
-156,46,30
-155,46,29
-156,46,26
-159,46,24
-159,48,23
-158,46,23
-159,46,23
-157,46,24
-157,44,25
177,-34,15
0,0,0
178,-35,14
177,-40,10
177,-43,4
0,0,0
0,0,0
-177,-40,0
-175,-36,0
-171,-19,-4
-173,-39,-3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-179,17,3
175,10,0
-178,-26,-2
-178,-23,-3
-174,-27,-8
-171,-25,-9
-168,-25,-8
-166,-29,-8
-168,-30,-8
-170,-32,-5
-166,-31,-7
-169,-30,-7
-170,-40,-13
-177,-32,-6
179,-41,-4
174,-33,-2
173,-32,-1
172,-36,-1
169,-26,1
173,-37,-1
174,-38,-2
175,-38,-2
175,-40,-3
176,-39,-4
178,-41,-5
178,-41,-5
178,-39,-5
-179,-40,-6
-177,-42,-7
179,-39,-6
-179,-42,-6
-179,-41,-6
179,-40,-6
179,-41,-6
-179,-41,-6
179,-40,-6
-179,-41,-7
-178,-41,-8
-177,-40,-9
-175,-42,-9
-175,-43,-9
-173,-43,-11
-173,-43,-11
-172,-43,-13
-172,-43,-13
-172,-42,-13
-172,-40,-13
-172,-39,-12
-173,-40,-12
-172,-40,-11
-172,-41,-11
-172,-40,-11
-172,-43,-11
-173,-42,-10
-171,-43,-11
-171,-41,-11
-170,-41,-11
-171,-39,-11
-171,-38,-11
-172,-37,-11
-171,-38,-11
-171,-39,-11
-172,-37,-11
-171,-39,-12
-173,-38,-11
-172,-39,-11
-172,-38,-11
-171,-40,-12
-172,-39,-11
-170,-39,-12
-171,-40,-12
-171,-40,-11
-171,-38,-12
-171,-39,-12
-170,-38,-13
-171,-38,-12
-172,-37,-12
-171,-38,-13
-171,-39,-12
-172,-39,-12
-170,-39,-13
-171,-39,-12
-170,-38,-12
-170,-39,-13
-173,-37,-12
-173,-37,-12
-172,-34,-13
-170,-38,-14
-169,-41,-14
-169,-41,-14
-169,-41,-13
-170,-40,-12
-172,-38,-11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
