Z,X,Y
17.6326,-24.2013,-77.1888
17.924,-24.1443,-76.7671
18.1233,-24.1535,-76.4492
18.1031,-24.2652,-76.4471
18.0923,-24.2789,-76.5146
18.1524,-24.1283,-76.4753
18.1777,-23.9779,-76.4087
18.0562,-23.8994,-76.4486
17.9548,-23.81,-76.4907
17.9529,-23.6746,-76.4687
17.9534,-23.5581,-76.4248
17.9347,-23.495,-76.3637
18.0356,-23.4343,-76.2549
18.3373,-23.3263,-76.0294
18.6505,-23.3554,-75.7933
18.9482,-23.5381,-75.6659
19.4481,-23.7474,-75.582
20.2221,-24.0221,-75.3274
21.2568,-24.6383,-74.6365
22.2413,-25.5193,-73.7862
22.8492,-26.3558,-73.2093
23.2927,-27.0854,-72.6793
23.9366,-27.834,-72.0195
24.6236,-28.5211,-71.6312
24.9845,-29.193,-71.6468
24.8585,-30.0588,-71.9969
24.3528,-31.3645,-72.5202
23.6432,-32.8312,-73.055
22.9456,-34.2076,-73.4223
22.5206,-35.4541,-73.5168
22.5822,-36.3917,-73.2517
22.9039,-36.9717,-72.8764
23.1077,-37.5252,-72.7082
23.061,-38.1964,-72.7328
22.7135,-38.9593,-72.9649
22.2547,-39.793,-73.2237
22.0426,-40.6209,-73.1543
21.867,-41.5617,-73.0838
21.491,-42.9262,-73.3288
21.3427,-44.5367,-73.3548
21.736,-45.9712,-72.832
22.4576,-47.3331,-72.0424
23.0879,-48.9522,-71.3697
23.2763,-50.5953,-71.0856
23.1593,-52.077,-71.0948
23.0231,-53.4669,-71.0682
23.0699,-55.0082,-70.8843
23.3097,-56.6371,-70.5358
23.5982,-58.3184,-70.1986
24.1918,-60.2608,-69.6134
25.3472,-62.366,-68.5051
26.8255,-64.5117,-67.0214
28.503,-66.8565,-65.2375
30.4464,-69.3609,-63.1497
32.9823,-71.7598,-60.6019
36.9694,-73.8622,-56.7227
42.5838,-75.723,-50.9795
49.3689,-77.695,-43.739
57.4276,-79.6643,-35.2065
67.1297,-81.1322,-25.0702
77.4677,-81.9127,-14.0005
85.6837,-82.3284,-4.78821
92.3542,-82.6967,2.88709
99.0777,-83.0546,10.7052
107.317,-83.391,20.076
118.334,-83.7533,32.0512
131.057,-84.3442,45.5882
144.451,-85.2297,59.8869
157.955,-85.8331,74.3224
167.819,-85.758,85.0032
173.383,-85.4831,91.2335
177.117,-85.4773,95.3202
177.422,-85.7202,95.8952
172.72,-86.0393,91.8002
169.03,-86.5403,88.6167
171.356,-87.4335,90.7656
174.398,-88.477,93.0036
130.103,-89.5006,47.8562
41.451,-88.617,-41.34
30.1217,-87.468,-53.2168
25.1374,-86.5623,-59.0029
24.749,-85.5633,-60.126
24.4719,-84.6089,-61.2646
21.1353,-83.8766,-65.7848
14.5961,-83.1565,-73.4992
6.28919,-82.3372,-82.8868
0.117856,-81.5461,-90.4381
-0.942015,-80.683,-92.9985
0.338029,-79.7682,-92.8538
-1.56261,-78.8129,-95.4456
-6.95891,-77.7486,-101.361
-12.5639,-76.6471,-107.435
-16.8105,-75.6653,-112.007
-20.2621,-74.7952,-115.581
-22.8573,-74.069,-118.43
-23.2195,-73.7187,-119.184
-21.2406,-73.5481,-117.595
-19.6824,-73.2666,-116.491
-20.6891,-72.9341,-118.145
-21.7739,-72.7309,-120.004
-20.5527,-72.702,-119.51
-19.2094,-72.5928,-118.79
-20.5441,-72.205,-120.643
-22.9424,-71.6183,-123.619
-23.1406,-71.2149,-124.619
-20.9017,-71.3783,-123.342
-18.3062,-71.869,-121.562
-17.9475,-72.1138,-121.628
-20.4757,-71.9146,-124.313
-23.1318,-71.5073,-127.088
-23.4706,-71.1933,-127.728
-22.2451,-71.1477,-127.094
-21.3927,-71.4538,-127
-21.1192,-72.0577,-127.369
-21.1943,-72.4916,-127.898
-22.3726,-72.3798,-129.452
-24.5064,-71.9661,-131.74
-25.5522,-71.8488,-132.698
-24.6712,-72.1389,-131.609
-23.9804,-72.5316,-130.873
-24.618,-72.8132,-131.706
-25.6888,-72.9625,-132.816
-26.3348,-73.1187,-133.251
-26.2417,-73.4445,-133.012
-26.2626,-73.8572,-132.963
-26.7138,-74.1801,-133.36
-26.2436,-74.5168,-133.072
-23.3591,-75.1712,-131.049
-18.0848,-76.0188,-127.293
-12.7136,-76.6295,-123.738
-9.3955,-76.8465,-122.358
-8.88591,-77.0079,-123.346
-13.125,-77.6147,-127.745
-23.6358,-78.7741,-137.309
-37.7479,-80.3026,-150.215
-54.1005,-82.0018,-165.092
-76.4035,-83.1114,174.545
-103.557,-82.4812,149.383
-123.167,-80.3669,131.475
-134.592,-78.4686,122.339
-141.323,-77.054,119.172
-145.366,-75.3426,118.366
-149.725,-73.611,115.784
-153.831,-72.3842,113.635
-153.726,-70.9177,116.448
-151.231,-68.675,120.765
-150.278,-66.753,122.768
-150.928,-66.0289,123.333
-151.695,-65.7856,123.758
-151.635,-65.0555,124.799
-149.784,-63.7227,127.377
-146.301,-62.1608,131.188
-143.281,-60.9302,134.554
-141.617,-60.9141,137.587
-140.358,-62.3857,141.161
-137.768,-63.9735,145.387
-133.74,-64.2372,149.594
-129.644,-64.6348,153.475
-125.613,-66.9708,156.95
-121.394,-70.1794,159.88
-115.613,-72.4341,164.844
-106.554,-72.968,173.535
-95.6675,-72.5942,-176.982
-83.9825,-73.02,-167.231
-71.238,-73.7007,-155.48
-60.3733,-73.2737,-145.787
-49.9178,-72.4266,-138.085
-37.1338,-72.1678,-127.603
-26.1752,-72.5192,-116.815
-19.7842,-72.5916,-110.322
-13.0662,-71.7553,-104.596
-4.3759,-70.372,-96.8596
2.02865,-69.1596,-90.9923
6.42942,-68.1377,-87.2168
11.1724,-67.041,-82.8199
16.8167,-66.1032,-77.1212
23.4021,-65.2544,-70.3418
30.339,-64.0953,-62.8109
35.909,-63.1063,-56.4557
39.9823,-62.9072,-52.0782
43.6529,-62.9899,-48.4198
47.4955,-62.6494,-44.5224
51.1052,-61.6167,-40.6811
53.2691,-60.0943,-38.0216
53.6684,-58.7705,-37.0194
53.2689,-57.9215,-36.6916
53.0112,-57.1581,-36.0082
54.2632,-56.2128,-34.3756
58.0209,-54.6757,-31.1772
61.4793,-52.1247,-27.0975
61.7171,-49.9734,-23.8794
62.6997,-49.4949,-21.2088
67.9047,-48.2283,-17.9624
73.3345,-44.1638,-15.0998
75.6077,-39.5655,-12.7377
76.4351,-36.9617,-10.5313
78.0504,-35.9339,-8.98053
79.906,-34.5366,-8.11428
81.1294,-32.0777,-7.42428
83.1722,-29.3376,-6.40737
86.099,-26.764,-5.37884
87.7396,-24.8151,-4.5422
87.81,-24.2113,-3.75729
88.0187,-24.6788,-2.86101
89.0191,-24.94,-1.43444
90.0791,-24.5206,0.42617
90.653,-24.4236,1.48938
91.1034,-25.2284,1.30925
92.66,-25.835,0.372551
96.1742,-24.9683,-0.821643
99.6678,-23.3466,-1.74394
101.289,-23.1748,-0.776097
103.509,-24.3003,2.1172
106.771,-25.3249,4.21649
107.865,-26.6332,4.80587
107.447,-28.9401,5.419
108.117,-31.8196,5.85964
109.547,-34.7685,6.35844
110.081,-37.7371,7.82781
109.437,-41.1365,9.70933
109.95,-45.2014,11.8345
113.046,-48.838,14.6922
116.182,-51.2565,18.2483
118.702,-53.9757,22.9075
123.315,-57.7143,29.0323
128.943,-60.6716,35.8
133.471,-62.6748,42.7728
140.213,-64.7608,51.2404
149.193,-66.2983,59.7651
155.209,-66.9523,65.1054
158.518,-67.415,69.4643
162.654,-67.6412,75.4093
167.522,-67.7789,81.6384
172.833,-67.922,87.5704
178.251,-67.4721,93.0868
-178.397,-66.7156,96.741
-175.839,-66.0578,99.7314
-171.985,-64.9949,103.129
-166.19,-63.1491,108.195
-158.015,-59.8272,117.095
-149.19,-54.652,127.04
-142.226,-49.4411,133.59
-138.585,-46.0025,136.963
-137.827,-43.1673,139.373
-137.408,-39.461,141.317
-135.75,-35.8907,143.395
-133.958,-33.3035,146.54
-132.783,-30.3335,149.988
-131.5,-26.224,152.355
-130.159,-22.5065,153.952
-129.96,-19.8454,155.4
-130.852,-17.5151,157.068
-130.881,-15.5033,159.171
-129.579,-13.7644,161.768
-128.62,-11.6815,164.478
-127.839,-9.45538,166.804
-126.25,-7.99471,168.589
-125.025,-7.88055,170.361
-125.091,-8.35356,172.819
-125.588,-8.10709,175.213
-125.646,-8.05917,176.217
-124.962,-9.10812,176.004
-124.356,-9.89389,175.612
-124.451,-9.74423,175.379
-124.616,-9.75773,175.178
-123.79,-11.5549,175.414
-122.461,-14.9565,176.255
-121.863,-17.7612,177.258
-122.305,-18.7073,177.351
-122.8,-19.1698,176.237
-123.129,-20.3519,174.735
-123.784,-21.4759,173.32
-124.228,-21.7981,172.149
-124.354,-22.0628,171.15
-124.495,-22.6077,170.432
-124.612,-22.9885,170.207
-124.663,-24.2117,170.534
-124.433,-28.1088,171.372
-123.694,-34.4568,172.03
-123.25,-40.4918,171.647
-123.41,-43.6973,170.301
-123.562,-44.3988,168.613
-123.692,-44.5786,167.224
-123.865,-44.9202,166.468
-123.996,-45.5543,166.112
-124.274,-47.3093,165.424
-124.93,-50.7386,163.871
-126.249,-54.9775,161.365
-128.185,-58.67,158.471
-129.304,-61.2157,156.975
-128.982,-62.599,156.786
-129.458,-63.3924,155.501
-131.785,-64.4979,152.765
-134.284,-65.8794,150.049
-135.813,-67.4256,147.659
-137.66,-69.1539,144.671
-140.24,-70.8051,141.585
-142.953,-72.6093,138.753
-144.912,-74.313,136.01
-145.994,-74.9847,133.396
-148.48,-74.9788,129.633
-152.18,-75.2102,125.607
-153.708,-75.3993,124.217
-155.111,-75.6554,123.321
-164.541,-77.5963,115.442
160.863,-80.6597,83.5334
