1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-69.428,-20.588,-32.914,-46.308,-43.331,1.3559,-23.795,-66.561,6.7054,-4.83E-07,5.43E-06,-7.97E-06,75.674,-46.853,26.611,-6.0161,-90.65,-43.752,-1.77E-05,5.38E-06,6.48E-07,13.502,53.838,-21.671
-69.446,-20.5,-32.779,-46.187,-43.446,1.4743,-23.594,-66.738,6.5602,-4.83E-07,5.43E-06,-7.97E-06,75.674,-47.439,27.259,-6.0171,-90.761,-43.61,-1.77E-05,5.38E-06,6.48E-07,13.675,54.408,-21.584
-69.475,-20.454,-32.564,-45.87,-43.839,1.3631,-23.435,-66.735,6.6059,-4.83E-07,5.43E-06,-7.97E-06,75.684,-49.459,29.138,-5.9919,-90.918,-43.436,-1.77E-05,5.38E-06,6.48E-07,14.361,54.769,-21.035
-69.528,-20.257,-32.266,-45.597,-43.769,1.6167,-23.174,-66.756,6.6738,-4.83E-07,5.43E-06,-7.97E-06,75.686,-51.34,30.945,-5.9947,-91.045,-43.313,-1.77E-05,5.38E-06,6.48E-07,14.94,55.397,-20.748
-69.583,-19.944,-31.936,-45.44,-43.247,2.2392,-22.824,-66.862,6.6692,-4.83E-07,5.43E-06,-7.97E-06,75.678,-52.706,32.351,-6.0233,-91.14,-43.212,-1.77E-05,5.38E-06,6.48E-07,15.277,56.315,-20.81
-69.579,-19.777,-31.724,-45.377,-42.941,2.7497,-22.538,-67.022,6.5052,-4.83E-07,5.43E-06,-7.97E-06,75.633,-54.035,33.72,-6.0163,-91.266,-42.989,-1.77E-05,5.38E-06,6.48E-07,15.614,57.207,-20.795
-69.531,-19.659,-31.564,-45.359,-42.785,3.1416,-22.26,-67.246,6.2964,-4.83E-07,5.43E-06,-7.97E-06,75.571,-54.887,34.596,-6.0052,-91.365,-42.695,-1.77E-05,5.38E-06,6.48E-07,15.917,57.926,-20.718
-69.456,-19.527,-31.407,-45.334,-42.74,3.4029,-21.958,-67.525,6.1269,-4.83E-07,5.43E-06,-7.97E-06,75.506,-55.134,34.837,-6.0105,-91.405,-42.385,-1.77E-05,5.38E-06,6.48E-07,16.203,58.4,-20.576
-69.409,-19.415,-31.206,-45.238,-42.663,3.4653,-21.706,-67.778,5.8999,-4.83E-07,5.43E-06,-7.97E-06,75.406,-56.68,36.384,-5.9948,-91.516,-42.261,-1.77E-05,5.38E-06,6.48E-07,16.794,59.108,-20.281
-69.386,-19.362,-31.047,-45.035,-42.599,3.7146,-21.419,-68.022,5.7666,-4.83E-07,5.43E-06,-7.97E-06,75.274,-58.021,37.736,-5.9656,-91.596,-42.176,-1.77E-05,5.38E-06,6.48E-07,17.283,59.892,-20.145
-69.38,-19.394,-31.005,-44.712,-42.607,4.471,-21.028,-68.267,5.8559,-4.83E-07,5.43E-06,-7.97E-06,75.139,-57.829,37.565,-5.9355,-91.548,-41.983,-1.77E-05,5.38E-06,6.48E-07,17.333,60.549,-20.413
-69.393,-19.296,-30.858,-44.428,-42.795,4.8918,-20.8,-68.374,5.8971,-4.83E-07,5.43E-06,-7.97E-06,74.959,-58.068,37.8,-5.9074,-91.526,-41.841,-1.77E-05,5.38E-06,6.48E-07,17.465,60.962,-20.565
-69.408,-19.059,-30.586,-44.201,-43.064,4.9695,-20.708,-68.354,5.8555,-4.83E-07,5.43E-06,-7.97E-06,74.726,-59.233,38.93,-5.8798,-91.534,-41.759,-1.77E-05,5.38E-06,6.48E-07,17.838,61.315,-20.503
-69.387,-18.831,-30.311,-43.95,-43.133,5.3775,-20.479,-68.364,5.8636,-4.83E-07,5.43E-06,-7.97E-06,74.44,-61.106,40.753,-5.8415,-91.471,-41.648,-1.77E-05,5.38E-06,6.48E-07,18.405,62.149,-20.398
-69.34,-18.7,-30.133,-43.661,-42.728,5.8193,-20.188,-68.391,5.9839,-4.83E-07,5.43E-06,-7.97E-06,74.226,-62.556,42.144,-5.8152,-91.334,-41.48,-1.77E-05,5.38E-06,6.48E-07,18.906,63.306,-20.49
-69.272,-18.682,-30.071,-43.346,-41.904,6.156,-19.89,-68.435,6.2054,-4.83E-07,5.43E-06,-7.97E-06,74.152,-63.138,42.666,-5.8067,-91.146,-41.236,-1.77E-05,5.38E-06,6.48E-07,19.199,64.545,-20.816
-69.175,-18.58,-29.941,-43.194,-41.754,6.3794,-19.728,-68.448,6.2679,-4.83E-07,5.43E-06,-7.97E-06,74.108,-63.523,43.015,-5.804,-91.038,-40.874,-1.77E-05,5.38E-06,6.48E-07,19.344,65.029,-20.845
-69.095,-18.391,-29.709,-43.102,-41.862,6.5759,-19.616,-68.473,6.2382,-4.83E-07,5.43E-06,-7.97E-06,74.094,-63.982,43.444,-5.8061,-91.005,-40.588,-1.77E-05,5.38E-06,6.48E-07,19.524,65.266,-20.762
-69.07,-18.122,-29.365,-42.968,-41.861,6.7973,-19.476,-68.543,6.1988,-4.83E-07,5.43E-06,-7.97E-06,74.098,-64.726,44.15,-5.8041,-91.022,-40.511,-1.77E-05,5.38E-06,6.48E-07,19.848,65.725,-20.75
-69.092,-17.816,-28.997,-42.829,-42.081,6.8858,-19.323,-68.599,6.2254,-4.83E-07,5.43E-06,-7.97E-06,74.016,-65.672,45.03,-5.7934,-91.002,-40.366,-1.77E-05,5.38E-06,6.48E-07,20.228,66.201,-20.659
-69.135,-17.464,-28.616,-42.69,-42.439,6.8817,-19.16,-68.645,6.3134,-4.83E-07,5.43E-06,-7.97E-06,73.844,-66.63,45.915,-5.7708,-90.931,-40.119,-1.77E-05,5.38E-06,6.48E-07,20.62,66.691,-20.511
-69.159,-17,-28.165,-42.555,-42.618,6.9453,-18.994,-68.722,6.3909,-4.83E-07,5.43E-06,-7.97E-06,73.64,-67.295,46.544,-5.7366,-90.844,-39.877,-1.77E-05,5.38E-06,6.48E-07,20.994,67.27,-20.408
-69.13,-16.588,-27.766,-42.457,-42.508,7.2021,-18.808,-68.811,6.4467,-4.83E-07,5.43E-06,-7.97E-06,73.505,-67.604,46.87,-5.6958,-90.761,-39.575,-1.77E-05,5.38E-06,6.48E-07,21.206,67.846,-20.445
-69.055,-16.251,-27.443,-42.4,-42.176,7.5937,-18.624,-68.903,6.4718,-4.83E-07,5.43E-06,-7.97E-06,73.451,-67.606,46.926,-5.6533,-90.681,-39.22,-1.77E-05,5.38E-06,6.48E-07,21.26,68.367,-20.596
-69.007,-15.864,-27.077,-42.354,-42.001,7.7529,-18.507,-68.993,6.4642,-4.83E-07,5.43E-06,-7.97E-06,73.367,-67.513,46.853,-5.6107,-90.564,-38.874,-1.77E-05,5.38E-06,6.48E-07,21.362,68.797,-20.639
-68.99,-15.457,-26.69,-42.336,-41.914,7.8532,-18.427,-69.066,6.454,-4.83E-07,5.43E-06,-7.97E-06,73.296,-67.461,46.812,-5.5783,-90.453,-38.56,-1.77E-05,5.38E-06,6.48E-07,21.389,69.162,-20.735
-68.999,-15.055,-26.292,-42.344,-41.864,8.0338,-18.352,-69.11,6.467,-4.83E-07,5.43E-06,-7.97E-06,73.257,-67.626,47.01,-5.5653,-90.397,-38.311,-1.77E-05,5.38E-06,6.48E-07,21.294,69.511,-20.98
-69.036,-14.585,-25.87,-42.271,-42.066,8.0692,-18.285,-69.136,6.4888,-4.83E-07,5.43E-06,-7.97E-06,73.094,-68.607,48.047,-5.5609,-90.483,-38.276,-1.77E-05,5.38E-06,6.48E-07,21.504,70.058,-21.023
-69.076,-14.084,-25.448,-42.131,-42.478,8.0365,-18.195,-69.131,6.5555,-4.83E-07,5.43E-06,-7.97E-06,72.836,-70.023,49.501,-5.5514,-90.635,-38.328,-1.77E-05,5.38E-06,6.48E-07,21.987,70.764,-20.883
-69.078,-13.643,-25.07,-41.988,-43.007,8.1099,-18.032,-69.07,6.7518,-4.83E-07,5.43E-06,-7.97E-06,72.606,-71.025,50.429,-5.525,-90.671,-38.166,-1.77E-05,5.38E-06,6.48E-07,22.573,71.465,-20.687
-69.084,-13.274,-24.741,-41.866,-43.2,8.4664,-17.854,-69.029,6.859,-4.83E-07,5.43E-06,-7.97E-06,72.432,-71.967,51.359,-5.5139,-90.746,-38.079,-1.77E-05,5.38E-06,6.48E-07,23.055,72.165,-20.58
-69.101,-12.95,-24.436,-41.776,-43.064,8.9908,-17.684,-69.028,6.8744,-4.83E-07,5.43E-06,-7.97E-06,72.307,-72.937,52.374,-5.5148,-90.86,-38.114,-1.77E-05,5.38E-06,6.48E-07,23.414,72.826,-20.561
-69.128,-12.597,-24.087,-41.706,-42.92,9.2948,-17.534,-69.061,6.9374,-4.83E-07,5.43E-06,-7.97E-06,72.174,-74.001,53.413,-5.5043,-90.932,-38.216,-1.77E-05,5.38E-06,6.48E-07,23.796,73.43,-20.512
-69.127,-12.241,-23.735,-41.665,-42.878,9.4269,-17.433,-69.088,7.0218,-4.83E-07,5.43E-06,-7.97E-06,72.053,-75.07,54.443,-5.4976,-90.998,-38.327,-1.77E-05,5.38E-06,6.48E-07,24.112,73.902,-20.467
-69.086,-11.899,-23.41,-41.651,-42.987,9.5088,-17.388,-69.086,7.083,-4.83E-07,5.43E-06,-7.97E-06,71.956,-76.079,55.443,-5.5048,-91.089,-38.406,-1.77E-05,5.38E-06,6.48E-07,24.31,74.211,-20.448
-69.13,-11.531,-23.068,-41.605,-43.011,10.141,-17.267,-69.143,6.9061,-4.83E-07,5.43E-06,-7.97E-06,71.855,-77,56.342,-5.5178,-91.17,-38.487,-1.77E-05,5.38E-06,6.48E-07,24.487,74.666,-20.456
-69.235,-11.125,-22.69,-41.524,-43.1,10.855,-17.084,-69.204,6.7603,-4.83E-07,5.43E-06,-7.97E-06,71.698,-78.121,57.416,-5.5336,-91.263,-38.588,-1.77E-05,5.38E-06,6.48E-07,24.805,75.207,-20.387
-69.354,-10.667,-22.252,-41.409,-43.482,10.942,-16.87,-69.187,7.0367,-4.83E-07,5.43E-06,-7.97E-06,71.4,-79.846,59.063,-5.5465,-91.401,-38.74,-1.77E-05,5.38E-06,6.48E-07,25.499,75.749,-20.104
-69.445,-10.3,-21.906,-41.361,-43.865,10.97,-16.72,-69.158,7.2957,-4.83E-07,5.43E-06,-7.97E-06,71.264,-80.785,59.918,-5.559,-91.529,-38.789,-1.77E-05,5.38E-06,6.48E-07,25.915,76,-19.916
-69.508,-10.019,-21.653,-41.376,-44.155,11.078,-16.641,-69.138,7.4244,-4.83E-07,5.43E-06,-7.97E-06,71.281,-80.957,60.018,-5.5722,-91.628,-38.795,-1.77E-05,5.38E-06,6.48E-07,26.014,75.991,-19.872
-69.572,-9.7292,-21.412,-41.381,-44.299,11.295,-16.593,-69.142,7.4075,-4.83E-07,5.43E-06,-7.97E-06,71.241,-81.029,60.064,-5.5857,-91.691,-38.969,-1.77E-05,5.38E-06,6.48E-07,26.043,76.008,-19.933
-69.627,-9.3921,-21.114,-41.396,-44.432,11.388,-16.564,-69.112,7.3893,-4.83E-07,5.43E-06,-7.97E-06,71.126,-81.313,60.307,-5.5947,-91.735,-39.195,-1.77E-05,5.38E-06,6.48E-07,26.219,76.166,-19.97
-69.677,-8.9908,-20.73,-41.423,-44.647,11.239,-16.535,-69.019,7.4639,-4.83E-07,5.43E-06,-7.97E-06,70.927,-81.947,60.845,-5.5929,-91.766,-39.385,-1.77E-05,5.38E-06,6.48E-07,26.651,76.516,-19.898
-69.845,-8.5635,-20.34,-41.348,-44.913,11.414,-16.43,-69.031,7.4709,-4.83E-07,5.43E-06,-7.97E-06,70.67,-82.374,61.143,-5.5615,-91.754,-39.526,-1.77E-05,5.38E-06,6.48E-07,27.02,76.777,-19.781
-70.013,-8.2355,-20.058,-41.263,-45.18,11.552,-16.341,-69.042,7.5219,-4.83E-07,5.43E-06,-7.97E-06,70.489,-82.369,61.012,-5.5178,-91.7,-39.668,-1.77E-05,5.38E-06,6.48E-07,27.232,76.845,-19.671
-70.062,-8.1371,-20.008,-41.258,-45.399,11.293,-16.362,-68.947,7.7195,-4.83E-07,5.43E-06,-7.97E-06,70.505,-81.752,60.313,-5.4795,-91.608,-39.863,-1.77E-05,5.38E-06,6.48E-07,27.204,76.638,-19.624
-70.082,-8.1704,-20.089,-41.222,-45.722,11.018,-16.464,-68.799,7.7858,-4.83E-07,5.43E-06,-7.97E-06,70.553,-81.109,59.643,-5.4464,-91.523,-39.921,-1.77E-05,5.38E-06,6.48E-07,27.116,76.343,-19.66
-70.091,-8.2648,-20.234,-41.15,-46.057,10.898,-16.587,-68.661,7.6849,-4.83E-07,5.43E-06,-7.97E-06,70.557,-80.691,59.26,-5.4164,-91.466,-39.965,-1.77E-05,5.38E-06,6.48E-07,27.011,76.09,-19.773
-70.085,-8.3332,-20.359,-41.087,-46.146,11.086,-16.629,-68.624,7.4839,-4.83E-07,5.43E-06,-7.97E-06,70.448,-80.67,59.336,-5.3824,-91.449,-40.326,-1.77E-05,5.38E-06,6.48E-07,26.881,76.031,-19.931
-70.068,-8.3925,-20.445,-41.069,-46.164,11.154,-16.652,-68.626,7.3635,-4.83E-07,5.43E-06,-7.97E-06,70.322,-80.739,59.532,-5.3529,-91.484,-40.758,-1.77E-05,5.38E-06,6.48E-07,26.728,76.024,-20.086
-70.045,-8.4429,-20.48,-41.1,-46.179,10.915,-16.692,-68.63,7.3983,-4.83E-07,5.43E-06,-7.97E-06,70.237,-80.642,59.564,-5.3302,-91.557,-41.095,-1.77E-05,5.38E-06,6.48E-07,26.548,75.953,-20.193
-70.034,-8.4379,-20.49,-41.068,-46.091,10.583,-16.822,-68.616,7.3333,-4.83E-07,5.43E-06,-7.97E-06,70.225,-79.888,58.903,-5.3065,-91.561,-41.177,-1.77E-05,5.38E-06,6.48E-07,26.326,75.58,-20.167
-70.022,-8.4051,-20.49,-40.949,-45.65,10.961,-16.812,-68.644,7.1402,-4.83E-07,5.43E-06,-7.97E-06,70.227,-79.005,58.098,-5.2751,-91.525,-41.166,-1.77E-05,5.38E-06,6.48E-07,26.066,75.177,-20.171
-70.007,-8.3667,-20.494,-40.732,-44.791,12.438,-16.53,-68.755,6.831,-4.83E-07,5.43E-06,-7.97E-06,70.193,-78.44,57.612,-5.2311,-91.479,-41.201,-1.77E-05,5.38E-06,6.48E-07,25.804,74.963,-20.31
-70.01,-8.3141,-20.481,-40.555,-44.694,12.683,-16.447,-68.853,6.7236,-4.83E-07,5.43E-06,-7.97E-06,70.03,-78.312,57.493,-5.1817,-91.46,-41.259,-1.77E-05,5.38E-06,6.48E-07,25.799,74.915,-20.323
-70.028,-8.2563,-20.456,-40.447,-45.155,11.916,-16.556,-68.894,6.7881,-4.83E-07,5.43E-06,-7.97E-06,69.843,-78.357,57.515,-5.1399,-91.48,-41.367,-1.77E-05,5.38E-06,6.48E-07,25.917,74.918,-20.26
-70.039,-8.2118,-20.43,-40.375,-45.218,11.711,-16.611,-68.853,6.803,-4.83E-07,5.43E-06,-7.97E-06,69.863,-78.018,57.224,-5.1235,-91.547,-41.575,-1.77E-05,5.38E-06,6.48E-07,25.786,74.76,-20.327
-70.065,-8.1725,-20.437,-40.396,-44.897,11.812,-16.643,-68.802,6.8037,-4.83E-07,5.43E-06,-7.97E-06,70.04,-77.351,56.689,-5.1278,-91.603,-41.711,-1.77E-05,5.38E-06,6.48E-07,25.316,74.394,-20.606
