,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
24,-3135.8064714268335,3129.162403583494,-1247.184613529307,1550.224559286362,2259.67533011203,-2041.3835885329813,-2288.2836325971066,2222.6200395360834,-230.494777943959,-417.782687367196
25,-3083.3917101540737,3247.12391837498,-1175.2964303891986,1597.3443667947956,2292.6354705627705,-2037.400898762443,-2278.364511914696,2233.6688392343162,-286.57712528089127,-471.738111293226
26,-3037.390926778664,3384.13467873617,-1126.109841573683,1585.3742767004264,2293.641553458327,-2000.0961213295345,-2275.538713415429,2223.0788317610227,-352.0959712426261,-500.7703678089144
27,-2987.841066755451,3462.1451897436937,-1086.7304428899674,1643.99313488817,2326.9101018584233,-2036.729140143345,-2271.6232626198416,2224.7704593991493,-397.882085081112,-523.4842119742447
28,-2967.0533491136375,3579.5896635006025,-1052.355532596584,1669.3097338258337,2341.762870968784,-1984.929126717399,-2257.2985033576515,2221.9442932946013,-458.0964268475471,-602.5406255754851
29,-2951.727527202876,3682.02230565159,-1038.5851819277982,1700.3477263589239,2338.627041893601,-2004.3709472648577,-2247.0863569436333,2218.8943256859097,-490.39486261864823,-613.2058813153026
30,-2929.6652911598185,3571.3224641672514,-1035.644282959306,1782.016749943011,2352.748883802316,-1971.2008481555624,-2246.890092421484,2184.875021412608,-471.18909384656314,-597.7363104602497
31,-2878.90168973308,3406.454752421088,-1095.7395886939928,1894.119960761751,2358.64908921782,-1948.0493243571873,-2243.3141294582174,2166.9622023673137,-486.4777608783538,-503.3436919412973
32,-2878.0443651771575,3073.208622372775,-1096.3550190898459,1920.3659456704247,2374.5292591744114,-1758.60468894006,-2254.9572201419883,2138.915163037078,-532.6744954544159,-491.0306941393749
33,-2857.2022441640133,2957.7172629641914,-1125.4978225632194,1863.4654944562014,2425.515576237173,-1745.6325512113413,-2265.3573778372293,2140.9625576780218,-546.8794471332592,-693.8801998478147
34,-2799.7686495069875,2928.131101993886,-1137.4733337163539,1805.6505296888913,2507.104409553849,-1759.659767497824,-2285.2925546175165,2167.33183499082,-532.5485296343,-711.8186175571002
35,-2770.3076890158845,2892.2170770650664,-1145.2672066721154,1780.5716844289414,2512.9696063513816,-1824.9186800091138,-2275.109643716027,2176.56730230115,-494.38772708212434,-700.7978375719861
36,-2789.0024436734716,2925.17037420635,-1143.2606087021677,1823.5560726187957,2505.201506227142,-1789.9848282131866,-2275.976882659967,2195.638272591022,-460.2781564946564,-578.3101246316697
37,-2873.656273685439,2959.61073123597,-1161.0636649620378,1879.328136501279,2482.5844923940404,-1857.7029558857562,-2279.8631256792282,2178.441333695309,-434.43803601769565,-413.51254159380596
38,-2942.273175511498,2979.015596821032,-1120.4490529867571,1856.6060884377025,2440.977709410608,-1972.7940608623212,-2274.6502777507385,2158.4503921552464,-368.197469617468,-456.39182144923853
39,-3028.223048797319,3024.231274793357,-1204.419868318749,1888.1754146978435,2351.507136065,-1986.2084027252588,-2268.226234991774,2135.7369936793375,-364.14789279791074,-420.885163606127
40,-3056.079299965682,3103.531607547976,-1221.8128494311734,1848.0280901966705,2291.506601406355,-2011.3216851488946,-2259.611340865852,2138.0745742472845,-325.4487152613898,-399.76974268388324
41,-3124.9133126281763,3034.7563146357006,-1212.2864570697152,1843.2776758174723,2333.145772861923,-2092.090585546949,-2264.5397089940734,2161.881597248387,-273.60201962958365,-431.28325466794456
