No,Foot_L,Foot_R,Foot_pitch_L,Hand_L,Foot_pitch_R,Hand_R,Knee_L,Elbow_L,Thigh_pitch_L,Elbow_R,Thigh_pitch_R,Forearm_L,Knee_R,Forearm_R,Hiproll_L,Shoulder_L,Hiproll_R,Shoulder_R,Hip,Moe,Hip_R,Head,Shoulder_pitch_L,Head_pitch,Shoulder_pitch_R
9531,-403.8571429,-20,1672.142857,-2824,-1109.857143,3092,3532.285714,-2660,-3475.285714,1541,1963.285714,-92,-2346,-2874,620.8571429,-1242,312.8571429,1570,816,372,725,850,816,-183,-1302
9532,-404.7619048,-15,1674.904762,-2824,-1113.095238,3092,3531.809524,-2660,-3468.47619,1541,1956.47619,-92,-2336.333333,-2874,638.0952381,-1242,324.4285714,1570,816,372,725,850,816,-183,-1302
9533,-405.6666667,-10,1677.666667,-2824,-1116.333333,3092,3531.333333,-2660,-3461.666667,1541,1949.666667,-92,-2326.666667,-2874,655.3333333,-1242,336,1570,816,372,725,850,816,-183,-1302
9534,-406.5714286,-5,1680.428571,-2824,-1119.571429,3092,3530.857143,-2660,-3454.857143,1541,1942.857143,-92,-2317,-2874,672.5714286,-1242,347.5714286,1570,816,372,725,850,816,-183,-1302
9535,-407.4761905,0,1683.190476,-2824,-1122.809524,3092,3530.380952,-2660,-3448.047619,1541,1936.047619,-92,-2307.333333,-2874,689.8095238,-1242,359.1428571,1570,816,372,725,850,816,-183,-1302
9536,-408.3809524,5,1685.952381,-2824,-1126.047619,3092,3529.904762,-2660,-3441.238095,1541,1929.238095,-92,-2297.666667,-2874,707.047619,-1242,370.7142857,1570,816,372,725,850,816,-183,-1302
9537,-409.2857143,10,1688.714286,-2824,-1129.285714,3092,3529.428571,-2660,-3434.428571,1541,1922.428571,-92,-2288,-2874,724.2857143,-1242,382.2857143,1570,816,372,725,850,816,-183,-1302
9538,-410.1904762,15,1691.47619,-2824,-1132.52381,3092,3528.952381,-2660,-3427.619048,1541,1915.619048,-92,-2278.333333,-2874,741.5238095,-1242,393.8571429,1570,816,372,725,850,816,-183,-1302
9539,-411.0952381,20,1694.238095,-2824,-1135.761905,3092,3528.47619,-2660,-3420.809524,1541,1908.809524,-92,-2268.666667,-2874,758.7619048,-1242,405.4285714,1570,816,372,725,850,816,-183,-1302
9540,-412,25,1697,-2824,-1139,3092,3528,-2660,-3414,1541,1902,-92,-2259,-2874,776,-1242,417,1570,816,372,725,850,816,-183,-1302
9541,-408.15625,28.875,1699.6875,-2824,-1139.3125,3092,3528,-2660,-3417.875,1526.0625,1908.5625,-92,-2270.25,-2863.3125,747.46875,-1242,387.09375,1575.28125,825,360.15625,732.15625,852.75,816,-183.3125,-1307.40625
9542,-404.3125,32.75,1702.375,-2824,-1139.625,3092,3528,-2660,-3421.75,1511.125,1915.125,-92,-2281.5,-2852.625,718.9375,-1242,357.1875,1580.5625,834,348.3125,739.3125,855.5,816,-183.625,-1312.8125
9543,-400.46875,36.625,1705.0625,-2824,-1139.9375,3092,3528,-2660,-3425.625,1496.1875,1921.6875,-92,-2292.75,-2841.9375,690.40625,-1242,327.28125,1585.84375,843,336.46875,746.46875,858.25,816,-183.9375,-1318.21875
9544,-396.625,40.5,1707.75,-2824,-1140.25,3092,3528,-2660,-3429.5,1481.25,1928.25,-92,-2304,-2831.25,661.875,-1242,297.375,1591.125,852,324.625,753.625,861,816,-184.25,-1323.625
9545,-392.78125,44.375,1710.4375,-2824,-1140.5625,3092,3528,-2660,-3433.375,1466.3125,1934.8125,-92,-2315.25,-2820.5625,633.34375,-1242,267.46875,1596.40625,861,312.78125,760.78125,863.75,816,-184.5625,-1329.03125
9546,-388.9375,48.25,1713.125,-2824,-1140.875,3092,3528,-2660,-3437.25,1451.375,1941.375,-92,-2326.5,-2809.875,604.8125,-1242,237.5625,1601.6875,870,300.9375,767.9375,866.5,816,-184.875,-1334.4375
9547,-385.09375,52.125,1715.8125,-2824,-1141.1875,3092,3528,-2660,-3441.125,1436.4375,1947.9375,-92,-2337.75,-2799.1875,576.28125,-1242,207.65625,1606.96875,879,289.09375,775.09375,869.25,816,-185.1875,-1339.84375
9548,-381.25,56,1718.5,-2824,-1141.5,3092,3528,-2660,-3445,1421.5,1954.5,-92,-2349,-2788.5,547.75,-1242,177.75,1612.25,888,277.25,782.25,872,816,-185.5,-1345.25
9549,-377.40625,59.875,1721.1875,-2824,-1141.8125,3092,3528,-2660,-3448.875,1406.5625,1961.0625,-92,-2360.25,-2777.8125,519.21875,-1242,147.84375,1617.53125,897,265.40625,789.40625,874.75,816,-185.8125,-1350.65625
9550,-373.5625,63.75,1723.875,-2824,-1142.125,3092,3528,-2660,-3452.75,1391.625,1967.625,-92,-2371.5,-2767.125,490.6875,-1242,117.9375,1622.8125,906,253.5625,796.5625,877.5,816,-186.125,-1356.0625
9551,-369.71875,67.625,1726.5625,-2824,-1142.4375,3092,3528,-2660,-3456.625,1376.6875,1974.1875,-92,-2382.75,-2756.4375,462.15625,-1242,88.03125,1628.09375,915,241.71875,803.71875,880.25,816,-186.4375,-1361.46875
9552,-365.875,71.5,1729.25,-2824,-1142.75,3092,3528,-2660,-3460.5,1361.75,1980.75,-92,-2394,-2745.75,433.625,-1242,58.125,1633.375,924,229.875,810.875,883,816,-186.75,-1366.875
9553,-362.03125,75.375,1731.9375,-2824,-1143.0625,3092,3528,-2660,-3464.375,1346.8125,1987.3125,-92,-2405.25,-2735.0625,405.09375,-1242,28.21875,1638.65625,933,218.03125,818.03125,885.75,816,-187.0625,-1372.28125
9554,-358.1875,79.25,1734.625,-2824,-1143.375,3092,3528,-2660,-3468.25,1331.875,1993.875,-92,-2416.5,-2724.375,376.5625,-1242,-1.6875,1643.9375,942,206.1875,825.1875,888.5,816,-187.375,-1377.6875
9555,-354.34375,83.125,1737.3125,-2824,-1143.6875,3092,3528,-2660,-3472.125,1316.9375,2000.4375,-92,-2427.75,-2713.6875,348.03125,-1242,-31.59375,1649.21875,951,194.34375,832.34375,891.25,816,-187.6875,-1383.09375
9556,-350.5,87,1740,-2824,-1144,3092,3528,-2660,-3476,1302,2007,-92,-2439,-2703,319.5,-1242,-61.5,1654.5,960,182.5,839.5,894,816,-188,-1388.5
